id	n = 1	n = 2
368	1.7575	1.0525
369	1.1365	3.6045
370	2.3945	3.8065
371	4.3855	0.6565
372	4.6495	1.0535
373	3.0455	0.7595
374	1.2035	3.6405
375	4.0005	1.6425
376	3.2425	1.7635
377	1.1335	3.0625
378	3.1925	0.6745
379	3.6025	1.9385
380	1.9565	2.9785
381	2.9035	0.5175
382	2.6145	3.9535
383	3.2095	1.1715
384	4.1775	3.4935
385	3.0865	3.9385
386	4.3065	1.9415
387	1.7975	3.9295
388	2.5085	1.3455
389	4.4515	3.6105
390	3.3895	3.7605
391	1.3405	3.8295
392	2.1485	1.4115
393	1.7565	0.9565
394	2.9355	2.9945
395	2.0245	0.9995
396	2.8455	1.2535
397	1.6445	0.3235
398	2.1955	3.9585
399	3.0455	4.1445
400	2.3075	0.5045
401	1.4915	3.7915
402	3.1445	3.6735
403	3.6305	4.0565
404	1.9335	3.3315
405	1.5145	1.3815
406	2.5475	3.8695
407	3.1275	3.6085
408	3.1355	4.0095
409	1.8075	1.0875
410	3.6335	1.2745
411	2.8585	1.2875
412	2.5865	3.3885
413	3.4595	2.2185
414	3.6295	0.1875
415	2.3965	1.5555
416	1.7425	3.7795
417	1.0555	3.1765
418	4.1055	4.6485
419	2.9745	1.2205
420	3.0065	3.6805
421	1.8575	3.4825
422	2.3885	1.1255
423	2.6125	1.2955
424	3.4425	0.6255
425	3.0095	4.4455
426	0.5405	0.8955
427	0.9275	1.0845
428	2.8285	3.0245
429	1.2145	1.9405
430	3.2705	1.7895
431	2.3415	2.1235
432	2.0095	3.5465
433	0.7635	0.9925
434	2.8935	2.0575
435	2.6865	1.2515
436	3.8505	3.0845
437	2.8805	1.5135
438	2.0315	4.0145
439	1.5265	3.8245
440	2.9815	3.1555
441	0.4835	3.3225
442	0.9875	3.0275
443	1.4755	0.9755
444	3.8655	0.6365
445	2.7995	3.8245
446	2.8845	0.9245
447	1.1415	3.8155
448	1.0865	0.5135
449	3.6515	1.4815
450	2.5485	3.4415
451	1.7615	3.5065
452	2.6015	3.7085
453	3.8745	1.0005
454	2.1715	1.2855
455	1.4185	1.4325
456	2.1725	4.1125
457	2.9625	2.0665
458	2.6035	2.9175
459	2.9145	3.3115
460	2.8005	2.7995
461	0.7515	1.7745
462	0.3285	1.5265
463	1.2245	4.3125
464	2.2225	1.1045
465	2.3925	1.1715
466	1.9235	4.0665
467	2.0185	1.5835
468	1.8285	3.7545
469	2.3985	3.9455
470	2.4025	1.7485
471	1.8845	4.2055
472	0.4525	3.2795
473	4.0265	1.9035
474	3.2695	0.4215
475	1.8475	1.6515
476	2.6965	1.8905
477	3.2575	4.0575
478	1.6565	3.3005
479	3.3425	1.5965
480	4.1115	3.2395
481	1.8285	4.0395
482	2.2765	2.8685
483	1.4685	1.1555
484	1.6995	3.1955
485	3.1575	0.9555
486	3.7185	0.9205
487	1.7285	1.1205
488	1.9555	1.0385
489	1.4145	0.4635
490	2.7645	1.3065
491	2.0205	0.7395
492	2.3215	3.7785
493	2.3825	1.0605
494	3.1435	2.7075
495	3.4135	3.5905
496	3.3535	4.1585
497	3.2905	0.8195
498	2.3735	1.7445
499	3.0625	1.3495
500	0.8415	2.8305
501	3.3685	1.7455
502	2.7245	1.8815
503	3.5445	3.9735
504	1.0805	4.1885
505	1.5835	3.0785
506	2.7005	4.4135
507	2.6145	1.5005
508	1.3985	3.0355
509	1.8715	3.3535
510	2.3825	1.1165
511	4.1175	1.3025
512	3.2975	0.7345
513	2.8515	4.2815
514	2.6435	1.1665
515	2.2435	0.2695
516	1.7285	2.3535
517	2.1845	3.5455
518	2.4475	3.2875
519	3.7245	3.8205
520	1.9215	3.3365
521	3.1435	3.9975
522	2.6265	0.5355
523	3.8195	4.5185
524	2.4105	1.7185
525	1.8945	3.7005
526	3.1635	0.5465
527	1.6915	3.5235
528	1.7105	1.0815
529	1.9215	1.5565
530	3.4295	2.1345
531	3.9575	2.8935
532	3.6265	0.9615
533	1.0885	1.7525
534	1.2455	1.4325
535	2.3155	4.5135
536	2.1905	1.1875
537	3.1015	3.0995
538	3.0665	0.8645
539	1.6425	3.7075
540	3.7375	3.4475
541	0.8195	3.8775
542	0.9785	1.1025
543	3.3635	3.4475
544	2.8635	1.6535
545	3.5265	1.1635
546	1.8395	0.7985
547	0.9505	2.1275
548	4.3175	1.4595
549	2.1145	3.1155
550	2.4165	0.6505
551	3.2125	3.4975
552	1.2155	1.0655
553	0.5865	2.1425
554	2.1985	3.9965
555	2.4855	0.1725
556	3.5515	4.1445
557	1.2435	1.3195
558	3.6235	1.4215
559	2.5175	1.0175
560	3.0825	1.6995
561	4.0575	0.6525
562	1.7695	1.6455
563	3.6835	1.1245
564	4.1645	0.8275
565	1.7955	3.5915
566	2.5865	1.8735
567	3.1025	1.5915
568	0.6655	3.2035
569	2.3415	3.6495
570	1.6965	1.0625
571	2.9115	3.9855
572	2.2785	2.9295
